op_name                                    inp_size   kernel_size   in channels  out channels  params(MBytes)   mults(M)    adds(M)     MFLOPS
SNB11_conv2_fwd                                  14             1           192           160           0.061      6.021      5.990     12.011
SNB11_hardswish1__plusscalar0                    14            -1           160           160           0.000      0.000      0.031      0.031
SNB11_hardswish1__clip                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB11_hardswish1__divscalar0                     14            -1           160           160           0.000      0.031      0.000      0.031
SNB11_hardswish1__mul0                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB11_se0_pool0_fwd                              14            -1           160             1           0.000      0.000      0.031      0.031
SNB11_se0_conv_squeeze_fwd                        1             1           160            40           0.013      0.006      0.006      0.013
SNB11_se0_relu0_fwd                               1            -1            40            40           0.000      0.000      0.000      0.000
SNB11_se0_conv_excitation_fwd                     1             1            40           160           0.013      0.006      0.006      0.013
SNB11_se0_hardsigmoid0__plusscalar0               1            -1           160           160           0.000      0.000      0.000      0.000
SNB11_se0_hardsigmoid0__clip                      1            -1           160           160           0.000      0.000      0.000      0.000
SNB11_se0_hardsigmoid0__divscalar0                1            -1           160           160           0.000      0.000      0.000      0.000
SNB12_conv0_fwd                                  14             1           160           160           0.051      5.018      4.986     10.004
SNB12_hardswish0__plusscalar0                    14            -1           160           160           0.000      0.000      0.031      0.031
SNB12_hardswish0__clip                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB12_hardswish0__divscalar0                     14            -1           160           160           0.000      0.031      0.000      0.031
SNB12_hardswish0__mul0                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB12_conv1_fwd                                  14             5           160             1           0.008      0.784      0.753      1.537
SNB12_conv2_fwd                                  14             1           160           160           0.051      5.018      4.986     10.004
SNB12_hardswish1__plusscalar0                    14            -1           160           160           0.000      0.000      0.031      0.031
SNB12_hardswish1__clip                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB12_hardswish1__divscalar0                     14            -1           160           160           0.000      0.031      0.000      0.031
SNB12_hardswish1__mul0                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB12_se0_pool0_fwd                              14            -1           160             1           0.000      0.000      0.031      0.031
SNB12_se0_conv_squeeze_fwd                        1             1           160            40           0.013      0.006      0.006      0.013
SNB12_se0_relu0_fwd                               1            -1            40            40           0.000      0.000      0.000      0.000
SNB12_se0_conv_excitation_fwd                     1             1            40           160           0.013      0.006      0.006      0.013
SNB12_se0_hardsigmoid0__plusscalar0               1            -1           160           160           0.000      0.000      0.000      0.000
SNB12_se0_hardsigmoid0__clip                      1            -1           160           160           0.000      0.000      0.000      0.000
SNB12_se0_hardsigmoid0__divscalar0                1            -1           160           160           0.000      0.000      0.000      0.000
SNB13_conv0_fwd                                  14             1           160           224           0.072      7.025      6.981     14.005
SNB13_hardswish0__plusscalar0                    14            -1           224           224           0.000      0.000      0.044      0.044
SNB13_hardswish0__clip                           14            -1           224           224           0.000      0.044      0.000      0.044
SNB13_hardswish0__divscalar0                     14            -1           224           224           0.000      0.044      0.000      0.044
SNB13_hardswish0__mul0                           14            -1           224           224           0.000      0.044      0.000      0.044
SNB13_conv1_fwd                                  14             3           224             1           0.004      0.395      0.351      0.746
SNB13_conv2_fwd                                  14             1           224           160           0.072      7.025      6.993     14.018
SNB13_hardswish1__plusscalar0                    14            -1           160           160           0.000      0.000      0.031      0.031
SNB13_hardswish1__clip                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB13_hardswish1__divscalar0                     14            -1           160           160           0.000      0.031      0.000      0.031
SNB13_hardswish1__mul0                           14            -1           160           160           0.000      0.031      0.000      0.031
SNB13_se0_pool0_fwd                              14            -1           160             1           0.000      0.000      0.031      0.031
SNB13_se0_conv_squeeze_fwd                        1             1           160            40           0.013      0.006      0.006      0.013
SNB13_se0_relu0_fwd                               1            -1            40            40           0.000      0.000      0.000      0.000
SNB13_se0_conv_excitation_fwd                     1             1            40           160           0.013      0.006      0.006      0.013
SNB13_se0_hardsigmoid0__plusscalar0               1            -1           160           160           0.000      0.000      0.000      0.000
SNB13_se0_hardsigmoid0__clip                      1            -1           160           160           0.000      0.000      0.000      0.000
SNB13_se0_hardsigmoid0__divscalar0                1            -1           160           160           0.000      0.000      0.000      0.000
SNB14_conv0_fwd                                  14             1           160           256           0.082      8.028      7.978     16.006
SNB14_hardswish0__plusscalar0                    14            -1           256           256           0.000      0.000      0.050      0.050
SNB14_hardswish0__clip                           14            -1           256           256           0.000      0.050      0.000      0.050
SNB14_hardswish0__divscalar0                     14            -1           256           256           0.000      0.050      0.000      0.050
SNB14_hardswish0__mul0                           14            -1           256           256           0.000      0.050      0.000      0.050
SNB14_conv1_fwd                                  14             7           256             1           0.025      2.459      2.408      4.867
SNB14_conv2_fwd                                  14             1           256           160           0.082      8.028      7.997     16.025
